ID,Marker for Cup at 34 days,Behavior,Day,phase_bin_10 days,"phase_bin_10 days 2, copy",phase_bin_7Days,phase_bin_7Days_complete,daysInPhase2,days_between_TP,DaysSinceCup,BaselineCells,NewCells,CumulativeNew,CumulativeNew%,LostCells,CumulativeLost,total gain at day31 post cup,help column for totalLoss at day31 post cup,totalLoss at day31 post cup,CumulativeLost%,Ol loss % at 4w post cup,Neg_CumLost%,Lost%,Total OL Replacement %,OL replacement at 4w post Cup,OL replacement at 6w post cup,replacement rate w/ Phase,Replacement Rate w/Phase for graph help column,Replacement rate w/phase for graph,Max_loss,MaxGain_normToLoss,rate between each tp,max rate after stim,max rate during stim,Asymptote,Growth Rate,Inflection Point
MOBP61,,unstimulated,0,baseline,baseline,,,,,-21,121,0,0,0,0,0,,,80,0,,0,0,0,,,,61,,,,,,,61.676662,0.2130337,4.782487
MOBP61,,unstimulated,4,cuprizone diet,cuprizone diet,,,,4,-17,121,0,0,0,1,1,,,80,0.826446281,,-0.826446281,0.826446281,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,7,cuprizone diet,cuprizone diet,,,,3,-14,121,0,0,0,1,2,,,80,1.652892562,,-1.652892562,0.826446281,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,11,cuprizone diet,cuprizone diet,,,,4,-10,121,0,0,0,4,6,,,80,4.958677686,,-4.958677686,3.305785124,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,14,cuprizone diet,cuprizone diet,,,,3,-7,121,0,0,0,5,11,,,80,9.090909091,,-9.090909091,4.132231405,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,18,cuprizone diet,cuprizone diet,,,,4,-3,121,0,0,0,14,25,,,80,20.66115702,,-20.66115702,11.57024793,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,21,cuprizone diet,cuprizone diet,,,,3,0,121,0,0,0,18,43,,,80,35.53719008,,-35.53719008,14.87603306,0,,,,61,,,,0,,,,,
MOBP61,,unstimulated,28,learning,learning,,learning,7,7,7,121,30,30,24.79338843,18,61,,,80,50.41322314,,-50.41322314,14.87603306,37.5,,,6.428571429,32,,,,5.357142857,,5.357142857,,,
MOBP61,,unstimulated,30,learning,learning,,learning,7,2,9,121,3,33,27.27272727,4,65,,,80,53.71900826,,-53.71900826,3.305785124,41.25,,,6.428571429,32,,,,1.875,,5.357142857,,,
MOBP61,,unstimulated,32,learning,learning,,learning,7,2,11,121,3,36,29.75206612,2,67,,,80,55.37190083,,-55.37190083,1.652892562,45,,,6.428571429,32,6.428571429,,,1.875,,5.357142857,,,
MOBP61,,unstimulated,34,post-learning1,post-learning1,post-learning1,post-learning1,7,2,13,121,5,41,33.88429752,4,71,,,80,58.67768595,,-58.67768595,3.305785124,51.25,,,1.785714286,39,,,,3.125,,,,,
MOBP61,,unstimulated,36,post-learning1,post-learning1,post-learning1,post-learning1,7,2,15,121,1,42,34.7107438,1,72,,,80,59.50413223,,-59.50413223,0.826446281,52.5,,,1.785714286,39,,,,0.625,,,,,
MOBP61,,unstimulated,39,post-learning1,post-learning1,post-learning1,post-learning1,7,3,18,121,4,46,38.01652893,3,75,,,80,61.98347107,,-61.98347107,2.479338843,57.5,,,1.785714286,39,1.785714286,,,1.666666667,,,,,
MOBP61,,unstimulated,41,post-learning1,post-learning2,post-learning2,post-learning2,7,2,20,121,1,47,38.84297521,3,78,,,80,64.46280992,,-64.46280992,2.479338843,58.75,,,0.357142857,46,,,,0.625,,,,,
MOBP61,,unstimulated,43,post-learning1,post-learning2,post-learning2,post-learning2,7,2,22,121,1,48,39.66942149,0,78,,,80,64.46280992,,-64.46280992,0,60,,,0.357142857,46,,,,0.625,,,,,
MOBP61,,unstimulated,46,post-learning1,post-learning2,post-learning2,post-learning2,7,3,25,121,0,48,39.66942149,2,80,,,80,66.11570248,,-66.11570248,1.652892562,60,,,0.357142857,46,0.357142857,,,0,,,,,
