ID,Marker for Cup at 34 days,Behavior,Day,phase_bin_10 days,"phase_bin_10 days 2, copy",phase_bin_7Days,phase_bin_7Days_complete,daysInPhase2,days_between_TP,DaysSinceCup,BaselineCells,NewCells,CumulativeNew,CumulativeNew%,LostCells,CumulativeLost,total gain at day31 post cup,help column for totalLoss at day31 post cup,totalLoss at day31 post cup,CumulativeLost%,Ol loss % at 4w post cup,Neg_CumLost%,Lost%,Total OL Replacement %,OL replacement at 4w post Cup,OL replacement at 6w post cup,replacement rate w/ Phase,Replacement Rate w/Phase for graph help column,Replacement rate w/phase for graph,Max_loss,MaxGain_normToLoss,rate between each tp,max rate after stim,max rate during stim,Asymptote,Growth Rate,Inflection Point,OL loss rate learning
MOBP20,,learning,0,baseline,baseline,,,,,-17,119,0,0,0,0,0,,,108,0,,0,0,0,,,,17,,,,,,,,,,
MOBP20,,learning,3,cuprizone diet,cuprizone diet,,,,3,-14,119,0,0,0,1,1,,,108,0.840336134,,-0.840336134,0.840336134,0,,,,17,,,,0,,,,,,
MOBP20,,learning,7,cuprizone diet,cuprizone diet,,,,4,-10,119,0,0,0,1,2,,,108,1.680672269,,-1.680672269,0.840336134,0,,,,17,,,,0,,,,,,
MOBP20,,learning,10,cuprizone diet,cuprizone diet,,,,3,-7,119,0,0,0,1,3,,,108,2.521008403,,-2.521008403,0.840336134,0,,,,17,,,,0,,,,,,
MOBP20,,learning,14,cuprizone diet,cuprizone diet,,,,4,-3,119,0,0,0,4,7,,,108,5.882352941,,-5.882352941,3.361344538,0,,,,17,,,,0,,,,,,
MOBP20,,learning,17,cuprizone diet,cuprizone diet,,,,3,0,119,0,0,0,8,15,,,108,12.60504202,,-12.60504202,6.722689076,0,,,,17,,,,0,,,,,,
MOBP20,,learning,21,rest,rest,,rest,3,4,3,119,12,12,10.08403361,10,25,,,108,21.00840336,,-21.00840336,8.403361345,11.11111111,,,3.703703704,21,3.703703704,,,2.777777778,,,,,,
MOBP20,,learning,23,learning,learning,,learning,7,2,5,119,6,18,15.12605042,8,33,,,108,27.73109244,,-27.73109244,6.722689076,16.66666667,,,1.455026455,28,,,,2.777777778,,2.777777778,,,,4.801920768
MOBP20,,learning,25,learning,learning,,learning,7,2,7,119,0,18,15.12605042,15,48,,,108,40.33613445,,-40.33613445,12.60504202,16.66666667,,,1.455026455,28,,,,0,,2.777777778,,,,4.801920768
MOBP20,,learning,28,learning,learning,,learning,7,3,10,119,5,23,19.32773109,17,65,,,108,54.62184874,,-54.62184874,14.28571429,21.2962963,,,1.455026455,28,1.455026455,,,1.543209877,,2.777777778,,,,4.801920768
MOBP20,,learning,30,post-learning1,post-learning1,post-learning1,post-learning1,7,2,12,119,2,25,21.00840336,11,76,,,108,63.86554622,,-63.86554622,9.243697479,23.14814815,,,2.645502646,35,,,,0.925925926,,,,,,
MOBP20,,learning,32,post-learning1,post-learning1,post-learning1,post-learning1,7,2,14,119,6,31,26.05042017,16,92,,,108,77.31092437,,-77.31092437,13.44537815,28.7037037,,,2.645502646,35,,,,2.777777778,,,,,,
MOBP20,,learning,35,post-learning1,post-learning1,post-learning1,post-learning1,7,3,17,119,12,43,36.13445378,6,98,,,108,82.35294118,,-82.35294118,5.042016807,39.81481481,,,2.645502646,35,2.645502646,,,3.703703704,,,,,,
MOBP20,,learning,37,post-learning1,post-learning2,post-learning2,post-learning2,7,2,19,119,2,45,37.81512605,3,101,,,108,84.87394958,,-84.87394958,2.521008403,41.66666667,,,0.661375661,42,,,,0.925925926,,,,,,
MOBP20,,learning,39,post-learning1,post-learning2,post-learning2,post-learning2,7,2,21,119,0,45,37.81512605,3,104,,,108,87.39495798,,-87.39495798,2.521008403,41.66666667,,,0.661375661,42,,,,0,,,,,,
MOBP20,,learning,42,post-learning1,post-learning2,post-learning2,post-learning2,7,3,24,119,3,48,40.33613445,3,107,,,108,89.91596639,,-89.91596639,2.521008403,44.44444444,,,0.661375661,42,0.661375661,,,0.925925926,,,,,,
MOBP20,,learning,44,post-learning1,post-learning3,post-learning3,post-learning3,7,2,26,119,5,53,44.53781513,1,108,,,108,90.75630252,,-90.75630252,0.840336134,49.07407407,,,0.661375661,49,,,,2.314814815,,,,,,
MOBP20,,learning,47,post-learning1,post-learning3,post-learning3,post-learning3,7,3,28,119,0,53,44.53781513,0,108,,,108,90.75630252,,-90.75630252,0,49.07407407,,,0.661375661,49,,,,0,,,,,,
MOBP20,,learning,49,post-learning1,post-learning3,post-learning3,post-learning3,7,2,31,119,0,53,44.53781513,0,108,53,108,108,90.75630252,90.75630252,-90.75630252,0,49.07407407,49.07407407,,0.661375661,49,0.661375661,90.75630252,49.07407407,0,3.703703704,,55.56602,0.1069926,8.9127995,
MOBP27,,learning,0,baseline,baseline,,,,,-17,137,0,0,0,0,0,,,71,0,,0,0,0,,,,17,,,,,,,,,,
MOBP27,,learning,3,cuprizone diet,cuprizone diet,,,,3,-14,137,0,0,0,0,0,,,71,0,,0,0,0,,,,17,,,,0,,,,,,
MOBP27,,learning,6,cuprizone diet,cuprizone diet,,,,3,-10,137,0,0,0,2,2,,,71,1.459854015,,-1.459854015,1.459854015,0,,,,17,,,,0,,,,,,
MOBP27,,learning,10,cuprizone diet,cuprizone diet,,,,4,-7,137,0,0,0,2,4,,,71,2.919708029,,-2.919708029,1.459854015,0,,,,17,,,,0,,,,,,
MOBP27,,learning,13,cuprizone diet,cuprizone diet,,,,3,-3,137,0,0,0,4,8,,,71,5.839416058,,-5.839416058,2.919708029,0,,,,17,,,,0,,,,,,
MOBP27,,learning,17,cuprizone diet,cuprizone diet,,,,4,0,137,1,1,0.729927007,3,11,,,71,8.02919708,,-8.02919708,2.189781022,1.408450704,,,,17,,,,0.352112676,,,,,,
MOBP27,,learning,21,rest,rest,,rest,3,4,3,137,6,7,5.109489051,8,19,,,71,13.86861314,,-13.86861314,5.839416058,9.85915493,,,2.816901408,21,2.816901408,,,2.112676056,,,,,,
MOBP27,,learning,23,learning,learning,,learning,7,2,5,137,0,7,5.109489051,10,29,,,71,21.16788321,,-21.16788321,7.299270073,9.85915493,,,0.804828974,28,,,,0,,1.408450704,,,,2.189781022
